regular_NOCs, PD
Init: players
Step:0
players[288]: Index: 288; Strategy: True; AccPayOffs: 4
players[289]: Index: 289; Strategy: False; AccPayOffs: 2
players[290]: Index: 290; Strategy: True; AccPayOffs: 2
players[291]: Index: 291; Strategy: True; AccPayOffs: 8
players[292]: Index: 292; Strategy: True; AccPayOffs: 3
players[293]: Index: 293; Strategy: True; AccPayOffs: 1
players[294]: Index: 294; Strategy: False; AccPayOffs: 6
players[295]: Index: 295; Strategy: True; AccPayOffs: 4
players[296]: Index: 296; Strategy: True; AccPayOffs: 4
players[297]: Index: 297; Strategy: False; AccPayOffs: 4
players[298]: Index: 298; Strategy: False; AccPayOffs: 2
players[299]: Index: 299; Strategy: True; AccPayOffs: 1
players[300]: Index: 300; Strategy: False; AccPayOffs: 3
players[301]: Index: 301; Strategy: True; AccPayOffs: 1
players[302]: Index: 302; Strategy: True; AccPayOffs: 1
players[303]: Index: 303; Strategy: False; AccPayOffs: 4
players[304]: Index: 304; Strategy: True; AccPayOffs: 1
players[305]: Index: 305; Strategy: True; AccPayOffs: 2
players[306]: Index: 306; Strategy: True; AccPayOffs: 8
players[307]: Index: 307; Strategy: False; AccPayOffs: 4
players[308]: Index: 308; Strategy: True; AccPayOffs: 1
players[309]: Index: 309; Strategy: True; AccPayOffs: 6
players[310]: Index: 310; Strategy: False; AccPayOffs: 2
players[311]: Index: 311; Strategy: False; AccPayOffs: 4
players[312]: Index: 312; Strategy: True; AccPayOffs: 2
players[313]: Index: 313; Strategy: False; AccPayOffs: 4
players[314]: Index: 314; Strategy: False; AccPayOffs: 6
players[315]: Index: 315; Strategy: True; AccPayOffs: 3
players[316]: Index: 316; Strategy: True; AccPayOffs: 2
players[317]: Index: 317; Strategy: False; AccPayOffs: 4
players[318]: Index: 318; Strategy: False; AccPayOffs: 2
players[319]: Index: 319; Strategy: True; AccPayOffs: 3
players[320]: Index: 320; Strategy: True; AccPayOffs: 6
players[321]: Index: 321; Strategy: True; AccPayOffs: 4
